iter	Logloss
0	0.6893818624
1	0.6849412323
2	0.6812071526
3	0.6774590918
4	0.6732087574
5	0.6692877845
6	0.6651772367
7	0.6609071317
8	0.6568405319
9	0.6534775583
10	0.6502650616
11	0.6467595642
12	0.6434392552
13	0.6399890056
14	0.6362136147
15	0.6330272274
16	0.6299967888
17	0.6267681075
18	0.6233263883
19	0.6203057604
20	0.6173203342
21	0.6141061919
22	0.6115222715
23	0.6090329137
24	0.6062980517
25	0.6036019039
26	0.6005109278
27	0.5973284845
28	0.5948022107
29	0.5920970143
30	0.589312424
31	0.5867305825
32	0.584302687
33	0.5822225884
34	0.5800814936
35	0.5779510094
36	0.5755522499
37	0.5731911478
38	0.5706291704
39	0.5686151068
40	0.5662079906
41	0.5637451195
42	0.5613455879
43	0.5596002493
44	0.5575163227
45	0.5553441797
46	0.5532441928
47	0.5511437892
48	0.5492703309
49	0.5472682162
50	0.5457260833
51	0.543578204
52	0.541722925
53	0.5397488136
54	0.5378049071
55	0.5357981273
56	0.5339757214
57	0.5322633945
58	0.5305095793
59	0.5286626504
60	0.5267054131
61	0.5249883146
62	0.5233469537
63	0.5216837768
64	0.519956063
65	0.518101955
66	0.5165314613
67	0.5150446767
68	0.5132975277
69	0.5119098835
70	0.5103222184
71	0.5088520442
72	0.5071304901
73	0.5053042755
74	0.5038735841
75	0.5024675224
76	0.5014420177
77	0.5003072179
78	0.4992377722
79	0.497745982
80	0.4966240404
81	0.4954780991
82	0.4940002741
83	0.4928498369
84	0.4912921516
85	0.4901205986
86	0.4889742115
87	0.4878022046
88	0.4867701066
89	0.4854382644
90	0.4844489217
91	0.4829659706
92	0.4816254397
93	0.4805320147
94	0.4792998184
95	0.4782558141
96	0.4772698822
97	0.476481832
98	0.4753909427
99	0.4744752267
100	0.4733585647
101	0.4722842564
102	0.4712891732
103	0.4703106493
104	0.4694051081
105	0.4684505037
106	0.4675948167
107	0.4666549475
108	0.4657500122
109	0.464707159
110	0.4636410996
111	0.4626717864
112	0.462017318
113	0.4612346844
114	0.4605931697
115	0.4594801853
116	0.4586584782
117	0.4578686138
118	0.4571002151
119	0.4562768494
120	0.4557460252
121	0.4549363049
122	0.45433581
123	0.4536380362
124	0.4528931411
125	0.4521068515
126	0.4513327103
127	0.4506058517
128	0.4498903715
129	0.4488721979
130	0.4483519426
131	0.4476776271
132	0.4469405912
133	0.445941262
134	0.4454353443
